,authors,journal,title,published,keywords
80,"Nicole Neverson, Charles T. Adeyanju ",Journalism Studies,Worth a Thousand Words,2018,"discourse analysis, media representation, new media event, policing, Taser®"
81,"Kristin A. Glad, Siri Thoresen, Gertrud S. Hafstad, Grete Dyb ",Journalism Studies,Survivors Report Back,2018,"approach, coverage, interview, reporters, survivors, terrorist attack, trauma journalism"
82,"Bente Kalsnes, Anders Olof Larsson ",Journalism Studies,Understanding News Sharing Across Social Media,2018,"Facebook, news, news sharing, Norway, social media, Twitter"
83,"Oren Soffer, Galit Gordoni ",Journalism Studies,To Post or not to Post?,2018,"Israel, participatory journalism, theory of planned behavior, user comments"
84,Neil Thurman ,Journalism Studies,Newspaper Consumption in the Mobile Age,2018,"attention, audience measurement, comScore, engagement, mobile audience, newspaper readership, ratings analysis, time spent"
85,"Michael Buozis, Brian Creech ",Journalism Studies,Reading News as Narrative,2018,"genre studies, journalism and literary studies, news as text, news narratives"
86,"Randal A. Beam, Sue Lockett John, Michael Mead Yaqub ",Journalism Studies,“We Don’t Cover Suicide … (Except When We Do Cover Suicide)”,2018,"contagion, journalists, news values, newsworthy, routinization, suicide"
87,"Claudia Kozman, Jad Melki ",Journalism Studies,News Media Uses During War,2018,"Arab audiences, Arab journalism, journalism and war, media and war, media literacy, news literacy, Syria war, uses and gratifications"
88,"Bengt Johansson, Tomas Odén ",Journalism Studies,Struggling for the Upper Hand,2018,"crisis communication, journalist–source relationship, news, organizational communication, social media"
89,Alistair S. Duff ,Journalism Studies,On Political Epunditry,2018,"deliberative democracy, epunditry, fifth estate, information society, opinion"
90,Nancy Worthington ,Journalism Studies,Wishful Thinking in Specialized Journalism,2018,"audiences, digital era, female, gender, The Hollywood Reporter, trade publications, Variety, viewers"
91,Maria Karidi ,Journalism Studies,News Media Logic on the Move?,2018,"content analysis, Germany, journalism, market/audience orientation, media logic, media system, news"
92,"Annelore Deprez, Sarah Van Leuven ",Journalism Studies,About Pseudo Quarrels and Trustworthiness,2018,"health journalism, inter-media agenda setting, network society, news access, sourcing practices, Twitter"
93,Sanem Şahin ,Journalism Studies,Journalism and Professionalism in Ethnic Media,2018,"ethnic media, immigrant, professionalism, role conception, Turkish-language media, Turkish-speaking community"
94,"Yael de Haan, Sanne Kruikemeier, Sophie Lecheler, Gerard Smit, Renee van der Nat ",Journalism Studies,When Does an Infographic Say More Than a Thousand Words?,2018,"infographics, mixed-method, visual storytelling, visualizations"
95,"T. J. Thomson, Gregory Perreault, Margaret Duffy ",Journalism Studies,Politicians,2018,"fantasy theme analysis, media ownership, media production, news media values, Pope Francis, religious leaders, symbolic convergence theory, visual analysis"
96,Lindsay Palmer ,Journalism Studies,Lost in Translation,2018,"discourse analysis, foreign reporting, global media ethics, news fixers, safety and security, war"
97,Ben Cocking ,Journalism Studies,News Values Go on Holiday,2018,"discourse analysis, Harcup and O’Neill, news values, travel journalism"
98,Will Mari ,Journalism Studies,Technology in the Newsroom,2018,"newsroom, technology adoption, telephone, radio, agency"
99,Deepa Kumar ,Journalism Studies,The Right Kind of “Islam”,2018,"Cold War, Islam, Islamic unity, journalism, news, political Islam, Saudi Arabia, United States"
100,Katy Parry ,Journalism Studies,Private Pictures and Public Secrets,2018,"Afghanistan, focus groups, killing, mediation, military, photography, transgression, war"
101,Rodrigo Zamith ,Journalism Studies,On Metrics-Driven Homepages,2018,"analytics, audiences, computational social science, gatekeeping, homepages, metrics, online news, popularity"
102,Toussaint Nothias ,Journalism Studies,How Western Journalists Actually Write About Africa,2018,"Africa, Afro-pessimism, foreign correspondents, linguistics, newspapers, postcolonial, representation, tribalism"
103,Keith Lewis ,Journalism Studies,The “Buen Vivir” and “Twenty-First Century Socialism”,2018,"cultural political economy, (de)legitimation, Fairclough, (post-) neoliberalism, UK broadsheet newspapers"
104,"Víctor García-Perdomo, Ramón Salaverría, Danielle K. Kilgo, Summer Harlow ",Journalism Studies,To Share or Not to Share,2018,"news topics, news values, online media, online native, online shares, social media, social recommendations, traditional media"
105,"Margaret Simons, Jenny Morgan ",Journalism Studies,Changing Media Coverage of Violence Against Women,2018,"journalism, journalism sources, media, media reporting, social media, violence against women"
106,"Dani Madrid-Morales, Herman Wasserman ",Journalism Studies,Chinese Media Engagement in South Africa,2018,"Africa–China, globalization, journalism and information flows, professional norms, South Africa"
107,"Joy Jenkins, Yong Volz ",Journalism Studies,Players and Contestation Mechanisms in the Journalism Field,2018,"field theory, historical analysis, journalism awards, journalism history, journalistic field, media institutions, professionalization"
108,"Mohammed el-Nawawy, Mohamad Hamas Elmasry ",Journalism Studies,Is America “Post-Racist”?,2018,"Anderson Cooper, Bill O’Reilly, Charleston, Confederate Flag, Critical Race Theory, discourse analysis, racism"
109,"Anna Leupold, Ulrike Klinger, Otfried Jarren ",Journalism Studies,Imagining the City,2018,"Germany, local journalism, social cohesion, standardized content analysis, urban communication"
110,"Alyt Damstra, Rens Vliegenthart ",Journalism Studies,(Un)covering the Economic Crisis?,2018,"content analysis, economic crisis, framing, mass media, media coverage, The Netherlands"
111,"Katie Artemas, Tim P. Vos, Margaret Duffy ",Journalism Studies,Journalism Hits a Wall,2018,"advertising, institutional norms, metaphors, news, news organizations, rhetoric, wall of separation"
112,"Merryn Sherwood, Penny O’Donnell ",Journalism Studies,Once a Journalist,2018,"industry restructure, institutional legitimacy, job loss, journalism, media work, professional identity, re-employment"
113,"Marina Ghersetti, Oscar Westlund ",Journalism Studies,Habits and Generational Media Use,2018,"complementary effects, crisis communication, displacing effects, GC/MC model, generations, habitual media use, locative media, mobile news"
114,"Gunnar Nygren, Michal Glowacki, Jöran Hök, Ilya Kiria, Dariya Orlova, Daria Taradai ",Journalism Studies,Journalism in the Crossfire,2018,"journalistic culture, professional values, Russia, self-censorship, Ukraine, war reporting"
115,"Tim P. Vos, J. David Wolfgang ",Journalism Studies,Journalists’ Normative Constructions of Political Viewpoint Diversity,2018,"field theory, in-depth interviews, journalistic capital, normative roles, political journalists, political viewpoints"
116,"Jakob-Moritz Eberl, Markus Wagner, Hajo G. Boomgaarden ",Journalism Studies,Party Advertising in Newspapers,2018,"advertiser pressure, media bias, newspaper advertisements, political advertising, political campaigns"
117,T. J. Thomson ,Journalism Studies,Freelance Photojournalists and Photo Editors,2018,"freelance, freelance photojournalist, mediated communication, photo editor feedback, photojournalism, photojournalist development, virtual work environments"
118,"Karen Ross, Karen Boyle, Cynthia Carter, Debbie Ging ",Journalism Studies,Women,2018,"gender, Global Media Monitoring Project, journalism, media monitoring, news, qualitative analysis, quantitative analysis"
119,Franz Krüger ,Journalism Studies,A Tale of Two Deaths,2018,"discourse ethics, Habermas, HIV/AIDS, media ethics, privacy, public interest"
120,Andrew Duffy ,Journalism Studies,“Wherever I Go,2018,"journalism, mobility/mooring, schema, travel"
121,"Manuel Menke, Susanne Kinnebrock, Sonja Kretzschmar, Ingrid Aichberger, Marcel Broersma, Roman Hummel, Susanne Kirchhoff, Dimitri Prandner, Nelson Ribeiro, Ramón Salaverría ",Journalism Studies,Convergence Culture in European Newsrooms,2018,"comparative quantitative survey, convergence culture, cross-media, editorial routines, European journalism, newsroom strategies, transmedia"
122,"Karoline Andrea Ihlebæk, Anders Olof Larsson ",Journalism Studies,Learning by Doing,2018,"guidelines, journalism, news organizations, objectivity, social media"
123,Lucas Graves ,Journalism Studies,Boundaries Not Drawn,2018,"boundary work, comparative journalism studies, ethnography, fact-checking, professionalism"
124,"Sanne Kruikemeier, Sophie Lecheler ",Journalism Studies,News Consumer Perceptions of New Journalistic Sourcing Techniques,2018,"audience perceptions, journalism, online, perceived credibility, sourcing, vignettes"
125,Thomas B. Ksiazek ,Journalism Studies,Commenting on the News,2018,"civility, digital journalism, engagement, hostility, interactivity, online news, user comments"
126,"Marta Milena Barrios, Toby Miller ",Journalism Studies,Green Passion Afloat,2018,"armed conflict, Colombia, emotions, environment, letters to the editor, Magdalena River"
127,Aras Coskuntuncel ,Journalism Studies,Privatization of Governance,2018,"censorship, clientelism, digital media, Gezi protests, hegemony, surveillance, Turkish media"
128,Sarah Pedersen ,Journalism Studies,Press response to women politicians,2018,"feminine, media, newspapers, Scottish, suffragettes, women politicians"
129,"Esa Reunanen, Kari Koljonen ",Journalism Studies,Not Partisans,2018,"interpretive journalism, journalism practice, journalistic interventionism, media logic, professional ethos, professional roles"
130,"Jonas Nygaard Blom, Michael Ejstrup, David Nicolas Hopmann ",Journalism Studies,The Effects of Phonetic Reduction on Actual and Perceived Comprehension by News Audiences,2018,"broadcast journalism, comprehension, news speak, phonetic reduction, pronunciation, scripted speak"
131,"Robert E. Gutsche Jr., Kristy Hess ",Journalism Studies,Contesting Communities,2018,"“anti-social” practices, contesting communities, journalism, social order, social sphere"
132,"Kristy Hess, Robert E. Gutsche Jr. ",Journalism Studies,Journalism and the “Social Sphere”,2018,"collective identity, common good, myth, public sphere, ritual, sociability, social capital, social order, social spheres"
133,Brian McNair ,Journalism Studies,From Control to Chaos,2018,"cultural chaos, journalism, political communication, public sphere"
134,"Michael McDevitt, Patrick Ferrucci ",Journalism Studies,Populism,2018,"anti-elitism, anti-intellectualism, campaigns, Donald Trump, populism, reflexivity"
135,Paul C. Adams ,Journalism Studies,Migration Maps with the News,2018,"cartography, European Union (EU), Europe, hospitality, mapping, migration, visualization"
136,Brian Michael Goss ,Journalism Studies,Veritable Flak Mill,2018,"Association of Community Organizations for Reform Now (ACORN), Battleground Texas, flak, James O’Keefe III, journalism ethics, Project Veritas"
137,Nikki Usher ,Journalism Studies,Re-Thinking Trust in the News,2018,"journalistic authority, materialism, metropolitan newspapers, news buildings, objects of journalism, trust"
138,"Henrik Bødker, Teke Ngomba ",Journalism Studies,Community Repair through Truce and Contestation,2018,"belonging, community, disruptive media events, measures of repair, national print journalism, politicians, terror attacks"
139,Curd Benjamin Knüpfer ,Journalism Studies,Diverging Projections of Reality,2018,"audience segmentation, fake news, frame competition, information environments, media fragmentation, mediated reality, misinformation"
140,"Kasper Welbers, Wouter van Atteveldt, Jan Kleinnijenhuis, Nel Ruigrok ",Journalism Studies,A Gatekeeper among Gatekeepers,2018,"content analysis, gatekeeping, journalism, news agencies, newspapers, media diversity, online media"
141,"Constanza Mujica, Ingrid Bachmann ",Journalism Studies,The Impact of Melodramatic News Coverage on Information Recall and Comprehension,2018,"Chile, experiment, information processing, melodrama, news, news formats, television journalism"
142,Julia Lefkowitz ,Journalism Studies,“Tabloidization” or Dual-Convergence,2018,"British journalism, corpus linguistics, public sphere, quoted speech, scandal, “tabloidization”, war"
143,Elizabeth Poole ,Journalism Studies,Constructing “British Values” within a Radicalisation Narrative,2018,"British values, extremism, Islam, media, Muslims, national identity, radicalisation, representation"
144,"Stephanie Na Liu, Tsan-Kuo Chang ",Journalism Studies,One Disaster,2018,"discursive package, institutional theory, legitimation crisis, online public opinion, social transcript, symbolic contest, Wenzhou train crash"
145,"Ke Li, Colin Sparks ",Journalism Studies,Chinese Newspapers and Investigative Reporting in the New Media Age,2018,"China, economic, investigative journalism, new media, newspapers, politics, technology"
146,"Mary Angela Bock, Pinar Istek, Paromita Pain, José Andrés Araiza ",Journalism Studies,Mastering the Mug Shot,2018,"gatekeeping, image management, mug shot, performance, photojournalism, visual journalism"
147,"Sally Young, Andrea Carson ",Journalism Studies,What is a Journalist?,2018,"Australia, journalism, journalism education, professional identity, professionalism"
148,"Stephen Cushion, Allaina Kilby, Richard Thomas, Marina Morani, Richard Sambrook ",Journalism Studies,Newspapers,2018,"content analysis, elections, impartiality, intermedia agenda-setting, interviews, newspapers, television news"
149,"Jordan Neil, Tiffany Schweickart, Tianduo Zhang, Josephine Lukito, Ji Young Kim, Guy Golan, Spiro Kiousis ",Journalism Studies,The Dash for Gas,2018,"agenda-building, fracking, information subsidies, political public relations, time-lag, United Kingdom"
150,Jane B. Singer ,Journalism Studies,Transmission creep,2018,"agenda-setting theory, cultivation theory, digital media, knowledge gap hypothesis, media effects, relationships, spiral of silence theory"
151,"Homero Gil de Zúñiga, Trevor Diehl, Alberto Ardèvol-Abreu ",Journalism Studies,When Citizens and Journalists Interact on Twitter,2018,"expectations, journalism, media bias, news, reciprocity, social media, Twitter"
152,"Justin D. Martin, Ralph J. Martins ",Journalism Studies,Outsourced Credibility?,2018,"accuracy, credibility, consolidated, copy editing, corrections, newspapers, outsourcing"
153,Allison Cavanagh ,Journalism Studies,Ladies of the Times,2018,"editors, letters, newspapers, public sphere, publicity, women"
154,"Kathleen Beckers, Stefaan Walgrave, Hilde Van den Bulck ",Journalism Studies,Opinion Balance in Vox Pop Television News,2018,"content analysis, opinion balance, political news, public opinion, television news, vox pops"
155,"Judith Bernanke, Sean Phelan ",Journalism Studies,The Politics of Interfield Antagonisms,2018,"antagonism, conversation analysis, cultural politics, field theory, interview, New Zealand journalism, visual arts"
156,Sandra K. Evans ,Journalism Studies,Making Sense of Innovation,2018,"innovation, management innovation, public service broadcasting, radio, process innovation"
157,"José A. García-Avilés, Miguel Carvajal-Prieto, Alicia De Lara-González, Félix Arias-Robles ",Journalism Studies,Developing an Index of Media Innovation in a National Market,2018,"innovation, innovation index, journalism, online media, Spain"
158,Anders Olof Larsson ,Journalism Studies,“I Shared the News Today,2018,"Facebook, quantitative method, social media, Sweden"
159,"Fabian Prochazka, Patrick Weber, Wolfgang Schweiger ",Journalism Studies,Effects of Civility and Reasoning in User Comments on Perceived Journalistic Quality,2018,"civility, journalistic quality, online news, reasoning, user comments, user-generated content"
160,"Florian Buhl, Elisabeth Günther, Thorsten Quandt ",Journalism Studies,Observing the Dynamics of the Online News Ecosystem,2018,"breaking news, immediacy, machine-based content analysis, news diffusion, news ecosystem, online news"
161,Diana Jacobsson ,Journalism Studies,Business Elite Competition or a Common Concern?,2018,"crisis, ideology, journalistic representations, neoliberalism"
