municipal,name,website,medium
Avalon Borough,Cape May County Herald,http://www.capemaycountyherald.com/,Newspaper
Avalon Borough,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Avalon Borough,WNJZ-FM,no website,Radio
Avalon Borough,CNB News,https://www.gloucestercitynews.net/,Digital-first (online)
Avon-by-the-Sea Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Avon-by-the-Sea Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Avon-by-the-Sea Borough,"Coaster, The",http://thecoaster.net/wordpress/,Newspaper
Avon-by-the-Sea Borough,"Link News, The",http://thelinknews.net,Newspaper
Avon-by-the-Sea Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Avon-by-the-Sea Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Avon-by-the-Sea Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Avon-by-the-Sea Borough,WLIW-TV,https://www.wliw.org/,Television
Avon-by-the-Sea Borough,WNDT-CD,no website,Television
Avon-by-the-Sea Borough,WNYC-FM,https://www.wnyc.org/,Radio
Barnegat Light Borough,Beach Haven Times,(no website),Newspaper
Barnegat Light Borough,"Manchester Times, The",https://www.jerseyshoreonline.com/themanchestertimes/,Newspaper
Barnegat Light Borough,Ocean County College Television,no website,Television
Barnegat Light Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Barnegat Light Borough,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Barnegat Light Borough,"SandPaper, The",http://www.thesandpaper.net,Magazine
Barnegat Light Borough,TAP into Stafford/LBI,https://www.tapinto.net/towns/stafford-slash-lbi/,Digital-first (online)
Barnegat Township,"Barnegat Leader, The",(no website),Newspaper
Barnegat Township,Beach Haven Times,(no website),Newspaper
Barnegat Township,"Manchester Times, The",https://www.jerseyshoreonline.com/themanchestertimes/,Newspaper
Barnegat Township,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Barnegat Township,Patch-Barnegat-Manahawkin,http://patch.com/new-jersey/barnegat-manahawkin,Digital-first (online)
Barnegat Township,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Barnegat Township,"SandPaper, The",http://www.thesandpaper.net,Magazine
Barnegat Township,TAP into Barnegat/Waretown,https://www.tapinto.net/towns/barnegat-slash-waretown/,Digital-first (online)
Barnegat Township,WNJM-FM,no website,Radio
Barrington Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Barrington Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Barrington Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Barrington Borough,"Retrospect, The",http://www.theretrospect.com,Newspaper
Barrington Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Barrington Borough,WLVT-TV,https://www.wlvt.org/,Television
Bass River Township,Courier Post,https://www.courierpostonline.com/,Newspaper
Bass River Township,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Bass River Township,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Bass River Township,Pine Barrens Tribune,http://pinebarrenstribune.com/,Newspaper
Bass River Township,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Bass River Township,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Bay Head Borough,"Manchester Times, The",https://www.jerseyshoreonline.com/themanchestertimes/,Newspaper
Bay Head Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Bay Head Borough,"SandPaper, The",http://www.thesandpaper.net,Magazine
Bay Head Borough,WLIW-TV,https://www.wliw.org/,Television
Bay Head Borough,WNDT-CD,no website,Television
Bayonne City,"Bayonne, Life on the Peninsula",https://hudsonreporter.com/category/issues/bayonne-life-on-the-peninsula-issue/,Magazine
Bayonne City,Hudson County View,https://hudsoncountyview.com/,Digital-first (online)
Bayonne City,Hudson Reporter.com,http://www.hudsonreporter.com,Digital-first (online)
Bayonne City,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Bayonne City,TAP into Bayonne,https://www.tapinto.net/towns/bayonne/,Digital-first (online)
Bayonne City,WBGO-FM,https://www.wbgo.org/category/news,Radio
Bayonne City,WLIW-TV,https://www.wliw.org/,Television
Bayonne City,WNDT-CD,no website,Television
Bayonne City,WNYC-FM,https://www.wnyc.org/,Radio
Beach Haven Borough,Beach Haven Times,(no website),Newspaper
Beach Haven Borough,"Manchester Times, The",https://www.jerseyshoreonline.com/themanchestertimes/,Newspaper
Beach Haven Borough,Ocean County College Television,no website,Television
Beach Haven Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Beach Haven Borough,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Beach Haven Borough,"SandPaper, The",http://www.thesandpaper.net,Magazine
Beach Haven Borough,TAP into Stafford/LBI,https://www.tapinto.net/towns/stafford-slash-lbi/,Digital-first (online)
Beachwood Borough,Berkeley Times,(no website),Newspaper
Beachwood Borough,"Manchester Times, The",https://www.jerseyshoreonline.com/themanchestertimes/,Newspaper
Beachwood Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Beachwood Borough,"SandPaper, The",http://www.thesandpaper.net,Magazine
Beachwood Borough,WLIW-TV,https://www.wliw.org/,Television
Beachwood Borough,WNDT-CD,no website,Television
Bedminster Township,"Bernardsville News, The",http://www.newjerseyhills.com/bernardsville_news/,Newspaper
Bedminster Township,Courier News,http://www.mycentraljersey.com/news/courier-news/,Newspaper
Bedminster Township,Patch-Bernardsville-Bedminster,http://patch.com/new-jersey/bernardsville-bedminster,Digital-first (online)
Bedminster Township,WLIW-TV,https://www.wliw.org/,Television
Bedminster Township,WLVT-TV,https://www.wlvt.org/,Television
Bedminster Township,WNDT-CD,no website,Television
Bedminster Township,WNYC-FM,https://www.wnyc.org/,Radio
Belleville Township,Belleville Post,(no website),Newspaper
Belleville Township,Belleville Times,(no website),Newspaper
Belleville Township,Essex News Daily,https://essexnewsdaily.com/,Newspaper
Belleville Township,Essex News Daily,https://essexnewsdaily.com/,Newspaper
Belleville Township,Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Belleville Township,Local Talk News,no website,Newspaper
Belleville Township,Local Talk News,no website,Newspaper
Belleville Township,"Observer, The",http://www.politickernj.com/,Newspaper
Belleville Township,Patch-Belleville-Nutley,http://patch.com/new-jersey/belleville,Digital-first (online)
Belleville Township,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Belleville Township,WBGO-FM,https://www.wbgo.org/category/news,Radio
Belleville Township,WLIW-TV,https://www.wliw.org/,Television
Belleville Township,WLVT-TV,https://www.wlvt.org/,Television
Belleville Township,WNDT-CD,no website,Television
Belleville Township,WNYC-FM,https://www.wnyc.org/,Radio
Bellmawr Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Bellmawr Borough,Gloucester City News,no website,Newspaper
Bellmawr Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Bellmawr Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Bellmawr Borough,"Retrospect, The",http://www.theretrospect.com,Newspaper
Bellmawr Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Bellmawr Borough,South Jersey Observer,https://southjerseyobserver.com/,Digital-first (online)
Bellmawr Borough,WLVT-TV,https://www.wlvt.org/,Television
Bellmawr Borough,CNB News,https://www.gloucestercitynews.net/,Digital-first (online)
Belmar Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Belmar Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Belmar Borough,"Link News, The",http://thelinknews.net,Newspaper
Belmar Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Belmar Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Belmar Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Belmar Borough,Patch-Manasquan-Belmar,http://patch.com/new-jersey/manasquan,Digital-first (online)
Belmar Borough,TAP into Belmar/Lake Como,https://www.tapinto.net/towns/belmar-slash-lake-como/,Digital-first (online)
Belmar Borough,WLIW-TV,https://www.wliw.org/,Television
Belmar Borough,WNDT-CD,no website,Television
Belmar Borough,WNYC-FM,https://www.wnyc.org/,Radio
Belvidere Town,Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Belvidere Town,"Morning Call, The",http://www.mcall.com/,Newspaper
Belvidere Town,New Jersey Herald,http://www.njherald.com/,Newspaper
Belvidere Town,WLVT-TV,https://www.wlvt.org/,Television
Belvidere Town,WNDT-CD,no website,Television
Bergenfield Borough,201,http://www.201magazine.com/#201magazine,Magazine
Bergenfield Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Bergenfield Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Bergenfield Borough,Northern Valley Suburbanite,no website,Newspaper
Bergenfield Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Bergenfield Borough,"Record, The",no website,Newspaper
Bergenfield Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Bergenfield Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Bergenfield Borough,WLIW-TV,https://www.wliw.org/,Television
Bergenfield Borough,WNDT-CD,no website,Television
Bergenfield Borough,WNYC-FM,https://www.wnyc.org/,Radio
Berkeley Heights Township,Berkeley Heights Community News,https://rennamedia.com/publications/berkeley-heights-community-news/,Newspaper
Berkeley Heights Township,countywatchers,https://countywatchers.wordpress.com/,Digital-first (online)
Berkeley Heights Township,Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Berkeley Heights Township,Patch-New Providence-Berkeley Heights,https://patch.com/new-jersey/newprovidence,Digital-first (online)
Berkeley Heights Township,TAP into Berkeley Heights,https://www.tapinto.net/towns/berkeley-heights/,Digital-first (online)
Berkeley Heights Township,Union County Local Source,no website,Newspaper
Berkeley Heights Township,WBGO-FM,https://www.wbgo.org/category/news,Radio
Berkeley Heights Township,WLIW-TV,https://www.wliw.org/,Television
Berkeley Heights Township,WLVT-TV,https://www.wlvt.org/,Television
Berkeley Heights Township,WNDT-CD,no website,Television
Berkeley Heights Township,WNYC-FM,https://www.wnyc.org/,Radio
Berkeley Township,Berkeley Times,(no website),Newspaper
Berkeley Township,"Manchester Times, The",https://www.jerseyshoreonline.com/themanchestertimes/,Newspaper
Berkeley Township,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Berkeley Township,Patch-Berkeley,http://patch.com/new-jersey/berkeley-nj,Digital-first (online)
Berkeley Township,"SandPaper, The",http://www.thesandpaper.net,Magazine
Berkeley Township,WLIW-TV,https://www.wliw.org/,Television
Berkeley Township,WNDT-CD,no website,Television
Berlin Township,Courier Post,https://www.courierpostonline.com/,Newspaper
Berlin Township,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Berlin Township,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Berlin Township,"Retrospect, The",http://www.theretrospect.com,Newspaper
Berlin Township,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Berlin Township,WLVT-TV,https://www.wlvt.org/,Television
Berlin Borough,"Berlin Sun, The",https://thesunpapers.com/berlin-sun/,Newspaper
Berlin Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Berlin Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Berlin Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Berlin Borough,"Retrospect, The",http://www.theretrospect.com,Newspaper
Berlin Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Berlin Borough,WLVT-TV,https://www.wlvt.org/,Television
Bernards Township,"Bernardsville News, The",http://www.newjerseyhills.com/bernardsville_news/,Newspaper
Bernards Township,Courier News,http://www.mycentraljersey.com/news/courier-news/,Newspaper
Bernards Township,Patch-Basking Ridge,http://patch.com/new-jersey/baskingridge,Digital-first (online)
Bernards Township,TAP into Basking Ridge,https://www.tapinto.net/towns/basking-ridge/,Digital-first (online)
Bernards Township,WLIW-TV,https://www.wliw.org/,Television
Bernards Township,WLVT-TV,https://www.wlvt.org/,Television
Bernards Township,WNDT-CD,no website,Television
Bernards Township,WNYC-FM,https://www.wnyc.org/,Radio
Bernardsville Borough,"Bernardsville News, The",http://www.newjerseyhills.com/bernardsville_news/,Newspaper
Bernardsville Borough,Courier News,http://www.mycentraljersey.com/news/courier-news/,Newspaper
Bernardsville Borough,Patch-Bernardsville-Bedminster,http://patch.com/new-jersey/bernardsville-bedminster,Digital-first (online)
Bernardsville Borough,Tap into Somerset Hills,https://www.tapinto.net/towns/somerset-hills/,Digital-first (online)
Bernardsville Borough,WLIW-TV,https://www.wliw.org/,Television
Bernardsville Borough,WLVT-TV,https://www.wlvt.org/,Television
Bernardsville Borough,WNDT-CD,no website,Television
Bernardsville Borough,WNYC-FM,https://www.wnyc.org/,Radio
Bethlehem Township,Hunterdon County Democrat,http://www.nj.com/hunterdon-county-democrat/,Newspaper
Bethlehem Township,"Hunterdon County News, The",https://thehunterdoncountynews.com/,Digital-first (online)
Bethlehem Township,WDVR-FM,https://www.pennjerseyradio.org/,Radio
Bethlehem Township,WLIW-TV,https://www.wliw.org/,Television
Bethlehem Township,WLVT-TV,https://www.wlvt.org/,Television
Bethlehem Township,WNDT-CD,no website,Television
Beverly City,Beverly Bee,(no website),Magazine
Beverly City,Courier Post,https://www.courierpostonline.com/,Newspaper
Beverly City,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Beverly City,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Beverly City,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Beverly City,WLVT-TV,https://www.wlvt.org/,Television
Blairstown Township,Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Blairstown Township,"Morning Call, The",http://www.mcall.com/,Newspaper
Blairstown Township,New Jersey Herald,http://www.njherald.com/,Newspaper
Blairstown Township,WLIW-TV,https://www.wliw.org/,Television
Blairstown Township,WLVT-TV,https://www.wlvt.org/,Television
Blairstown Township,WNDT-CD,no website,Television
Bloomfield Township,Baristanet,https://baristanet.com,Digital-first (online)
Bloomfield Township,Essex News Daily,https://essexnewsdaily.com/,Newspaper
Bloomfield Township,Independent Press of Bloomfield,no website,Newspaper
Bloomfield Township,Jersey Access Group: Bloomfield Township,no website,Television
Bloomfield Township,Jersey Access Group: Brookdale Community College,no website,Television
Bloomfield Township,Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Bloomfield Township,Local Talk News,no website,Newspaper
Bloomfield Township,"Montclair Dispatch, The",https://montclairdispatch.com,Newspaper
Bloomfield Township,"Observer, The",http://www.politickernj.com/,Newspaper
Bloomfield Township,Patch-Bloomfield,http://patch.com/new-jersey/bloomfield,Digital-first (online)
Bloomfield Township,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Bloomfield Township,TAP into Bloomfield,https://www.tapinto.net/towns/bloomfield/,Digital-first (online)
Bloomfield Township,WBGO-FM,https://www.wbgo.org/category/news,Radio
Bloomfield Township,WLIW-TV,https://www.wliw.org/,Television
Bloomfield Township,WLVT-TV,https://www.wlvt.org/,Television
Bloomfield Township,WMBA-TV,http://www.wbmatv.com/,Television
Bloomfield Township,WMBA-TV,http://www.wbmatv.com/,Television
Bloomfield Township,WNDT-CD,no website,Television
Bloomfield Township,WNYC-FM,https://www.wnyc.org/,Radio
Bloomingdale Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Bloomingdale Borough,"My Paper Online/HomeTown Life- Pompton Lakes, Bloomingdale, Riverdale, Butler, Kinnelon, Smokerise",https://www.mypaperonline.com/category/pompton-laks-bloomingdale-riverdale-butler-kinnelon-smokerise,Newspaper
Bloomingdale Borough,North Passaic Daily Voice,https://dailyvoice.com/new-jersey/northpassaic,Digital-first (online)
Bloomingdale Borough,WLIW-TV,https://www.wliw.org/,Television
Bloomingdale Borough,WLVT-TV,https://www.wlvt.org/,Television
Bloomingdale Borough,WNDT-CD,no website,Television
Bloomingdale Borough,WNYC-FM,https://www.wnyc.org/,Radio
Bloomsbury Borough,Hunterdon County Democrat,http://www.nj.com/hunterdon-county-democrat/,Newspaper
Bloomsbury Borough,"Hunterdon County News, The",https://thehunterdoncountynews.com/,Digital-first (online)
Bloomsbury Borough,WDVR-FM,https://www.pennjerseyradio.org/,Radio
Bloomsbury Borough,WLIW-TV,https://www.wliw.org/,Television
Bloomsbury Borough,WLVT-TV,https://www.wlvt.org/,Television
Bloomsbury Borough,WNDT-CD,no website,Television
Bogota Borough,201,http://www.201magazine.com/#201magazine,Magazine
Bogota Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Bogota Borough,Cliffside Park-Edgewater Daily Voice,https://dailyvoice.com/new-jersey/cliffsidepark/,Digital-first (online)
Bogota Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Bogota Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Bogota Borough,"Record, The",no website,Newspaper
Bogota Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Bogota Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Bogota Borough,WLIW-TV,https://www.wliw.org/,Television
Bogota Borough,WNDT-CD,no website,Television
Bogota Borough,WNYC-FM,https://www.wnyc.org/,Radio
Boonton Town,"Citizen (of Morris County), The",http://www.newjerseyhills.com/the_citizen/,Newspaper
Boonton Town,Daily Record,http://www.dailyrecord.com/,Newspaper
